"DisMod II input and output, database England 2011",,,,,,,,,,,,
"Females, Disease: Stroke (Rates * ), sex: Females",,,,,,,,,,,,
"Written 10/09/2015, 15:23:31",,,,,,,,,,,,
Age,Incidence (rates),Prevalence (rates),Remission (rates),Mortality (rates),Incidence (rates),Prevalence (rates),Remission (rates),Case fatality (rates),Duration (years),Mortality (rates),RR mortality (number),Age of onset (years)
86,0.00444,0.0948343959,0,0.0093038701,0.0067311737,0.0773209119,6.1374E-06,0.1090968897,3.8155552768,0.008433646,2.1934492097,86.5
87,0.00444,0.0955652163,0,0.010358349,0.0070393018,0.0759062268,6.1372E-06,0.1231890374,3.5566348816,0.00934769,2.2730932032,87.5
88,0.00444,0.0961932908,0,0.0120983158,0.0073593748,0.0737925635,6.1369E-06,0.1388364806,3.3023285764,0.0102401809,2.447174677,88.5
89,0.00444,0.0967319361,0,0.0138382827,0.0076913929,0.0710222332,6.1367E-06,0.1560392195,3.0259114402,0.0110749963,2.7803267624,89.5
90,0.00444,0.0971930571,0,0.0155782496,0.008035356,0.067676407,6.1365E-06,0.174797254,2.7646282866,0.0118195108,2.491090836,90.5
91,0.00444,0.0975872052,0,0.0173182165,0.0083595144,0.0639107228,6.1364E-06,0.1931595166,2.545751577,0.012332011,2.5044189883,91.5
92,0.00444,0.0979236653,0,0.0190581833,0.0086638682,0.0599319887,6.1364E-06,0.2111260073,2.3353221858,0.0126377625,2.5048145381,92.5
93,0.00444,0.0982105586,0,0.0218018798,0.0089484175,0.0559267434,6.1366E-06,0.228696726,2.1232315716,0.0127728665,2.4954096404,93.5
94,0.00444,0.0984549534,0,0.0245455762,0.0092131621,0.0520493947,6.1368E-06,0.2458716728,1.8945119664,0.0127787583,2.4787732647,94.5
95,0.00444,0.0986629755,0,0.0272892727,0.0094581021,0.048415337,6.1372E-06,0.2626508477,1.6250162709,0.01269696,2.4569994035,95.5
96,0.00444,0.0988399155,0,0.0300329691,0.0093576895,0.0436377669,6.1378E-06,0.35249171,1.3305708891,0.0153185888,2.8087079317,96.5
97,0.00444,0.0989903287,0,0.0327766655,0.0089119245,0.0358661266,6.1387E-06,0.5153942597,1.0613562537,0.0182750668,3.4535871132,97.5
98,0.00444,0.099118128,0,0.035520362,0.008120807,0.0256927904,6.1398E-06,0.7513584969,0.8395013994,0.0188009611,4.3288994778,98.5
99,0.00444,0.099226667,0,0.035520362,0.0069843369,0.0156969021,6.1411E-06,1.0603844216,0.6731038072,0.0158255065,5.3862789993,99.5
100,0.00444,0.099318815,0,0.035520362,0.0055025143,0.0082948727,6.1426E-06,1.4424720337,0.591879383,0.0110335842,6.5890525285,103.3716679658
,,,,,,,,,,,,
All ages,NA,0.0159767372,NA,0.0008352071,0.0011020073,0.0119082346,6.1382E-06,0.0558687366,10.602905437,0.0006625967,7.390175042,73.4022473526
